video_id,age,category,views,rate
ds36EeXhh-Y,571.0,Entertainment,100518,4.8
ZQrdreZvn4o,458.0,Entertainment,124187,4.57
m4N0BIctYiI,462.0,Entertainment,146453,4.81
FoUGRhLqJOA,411.0,Entertainment,106681,4.85
UMNm87W-CH4,579.0,Comedy,141618,1.43
zEiWq2ap91o,589.0,Music,115652,4.2
sx2hndEclW0,276.0,Entertainment,191348,4.43
G7mgqa4AaOw,415.0,Entertainment,161351,4.84
Wb6YQvf7Nlo,483.0,Music,166204,4.81
sD6dKvVFzog,550.0,Music,542583,4.75
leW9nn8ZCAM,478.0,Comedy,473011,4.6
jdNcRjxwQtU,511.0,Entertainment,471927,4.46
_WSAaRp7sVM,428.0,Music,113169,4.87
8iZpgr1u6CQ,471.0,Comedy,275980,4.76
8qVdxeVTDR0,541.0,Comedy,707175,4.78
HJj0Q_eglrE,571.0,Comedy,281932,4.52
rOi03W4ZuG0,414.0,Entertainment,124131,4.78
UpiUxzlhuKM,671.0,Entertainment,235878,4.59
Hpq3Egd_2UU,671.0,Entertainment,156774,4.64
hIu9Mmd17lE,671.0,Entertainment,293614,4.57
QSBujVRcOy4,283.0,Sports,196092,4.75
4D_NJEsVyas,455.0,Comedy,104451,4.73
e2QuCO50lgw,503.0,Music,250640,4.86
f0Pms_rY7Ls,576.0,Comedy,398693,4.18
tShEDm0xowU,434.0,Comedy,181342,4.72
WcnVN42adJo,510.0,Music,111231,4.98
cHkIza2rPt4,649.0,Entertainment,127281,4.8
49oSX-4m-gE,624.0,Music,167728,4.71
nz4N38r-FR0,353.0,Entertainment,176514,4.85
YoSAQIvVG0U,668.0,Sports,232015,3.73
EEltpSMTDPM,687.0,Sports,187720,4.91
VH4iaKjam5k,421.0,Sports,141268,3.45
9ol_OgVSgTI,428.0,Entertainment,124983,4.62
rEyGcM-YIUA,345.0,Entertainment,188480,3.32
LZFZGO1ixkU,323.0,Entertainment,734629,4.73
8Vu61VlsD1g,557.0,Music,398304,4.81
9-dDxp8Cez0,736.0,Music,124989,3.33
ArAuK4T7qyw,605.0,Music,189839,4.82
GZ_eQyH0nLU,240.0,Music,105855,4.82
knjAM3XxPC0,336.0,Music,811743,4.73
5S6zdYAre6E,544.0,Music,118389,4.59
ObuNdPIpiEA,454.0,Music,295274,4.2
0RGVloJzYnk,582.0,Entertainment,207072,4.79
fGJGem6QUwU,455.0,Music,143813,4.77
bOLXNuWvIts,622.0,Music,250861,2.49
Y5XeVLJeMdE,504.0,Music,135883,4.82
sz1t0Ns-ZfI,491.0,Music,130932,4.77
doSTtV9jcUU,252.0,Entertainment,221633,4.88
nILG8Ax1mKg,372.0,Entertainment,178500,4.48
sk7O8ELJDvU,348.0,Entertainment,492164,4.38
3C4mrpi7JTo,411.0,Sports,103632,4.13
bvAEr23J7rg,413.0,Entertainment,100507,4.4
q8jYp6U3YZs,325.0,Sports,133761,4.76
Zi98lWhQ9CY,435.0,Sports,176772,4.78
ms8b30ITK9k,282.0,Sports,259265,4.62
U8VEGbPLdrA,366.0,Music,149363,4.23
sqjadZcjgmM,350.0,Sports,161061,4.87
sfGz35FyV0U,295.0,Sports,185483,4.84
dgJOQuDywB8,384.0,Entertainment,103765,4.75
Pj1PlhBPeJI,233.0,Comedy,137834,4.33
g7151AdU9EQ,697.0,Entertainment,138638,4.7
S6bBJ4g-Sl4,697.0,Entertainment,106963,4.57
ScrHjVU-X9I,697.0,Entertainment,135213,4.69
49laIKpf72o,697.0,Comedy,158103,4.64
WDtWEL2wX7g,634.0,Entertainment,107032,4.67
TeF4ImVRXbU,270.0,Music,321966,4.75
8PWapUI-ai0,460.0,Sports,192599,4.18
bIldQd-uRlw,595.0,Entertainment,153960,4.31
zGCdBsOIKYA,611.0,Entertainment,214367,4.23
9X-KM8D0t88,425.0,Entertainment,208137,4.92
KEVxXXJX8MI,454.0,Music,121482,4.84
kjVEUwi_CuI,463.0,Entertainment,182060,4.76
U6Xdm3WUaPo,615.0,Music,171830,4.83
n4CIUSosWm4,257.0,Music,127259,4.77
VgQMPl3kYgk,469.0,Entertainment,108611,4.76
rvVS1Vy4XkM,460.0,Entertainment,109656,4.73
94KoDtFENeY,626.0,Music,102954,4.91
eh1v7EVQHT0,435.0,Comedy,255729,4.38
FFe3_3X1GQY,632.0,Music,139589,4.8
9EYbDgBnAbk,525.0,Music,408799,4.64
Ij2ZV0_TExo,531.0,Music,229585,4.66
2AvLngfsQWE,279.0,Music,115656,4.84
9q4a7nVbVpw,473.0,Entertainment,116274,4.92
88ITaKOwLpw,322.0,Entertainment,100923,4.9
5Vcka-bRn0U,391.0,Music,118047,4.87
a6RETQ5VcJ4,542.0,Music,105633,4.89
6rTno94-EpI,480.0,Music,195719,4.84
t-QA3-wT2k4,575.0,Comedy,101502,4.86
7HMa5BOn3QA,612.0,Entertainment,215234,4.59
HpVfNQ7wIM4,487.0,Entertainment,833239,3.73
RZxPZGtZknc,436.0,Music,131430,4.89
_s-5tLjCUD0,392.0,Comedy,137577,4.85
s13Y7SKrFls,363.0,Sports,133015,4.82
bhBt3dqgj4w,649.0,Sports,116575,4.74
hAsEXW6CkJU,541.0,Sports,184458,2.71
MbgApiJOjCM,522.0,Sports,123689,4.53
pVYoUIldzSg,658.0,Sports,126902,3.52
8dLv3fbGcUw,505.0,Entertainment,227805,4.23
i7Yd33lkIhU,545.0,Music,119240,4.9
N2o2aLSL4P8,490.0,Music,238152,4.82
oF3TvJNlMvY,637.0,Comedy,210464,4.71
ykVX9JBmcZY,337.0,Comedy,252246,4.73
4SX3xQHyMUk,625.0,Sports,100594,4.56
leHNvBS3PH4,687.0,Comedy,190537,2.89
HBkn63Ic_60,650.0,Entertainment,127379,4.66
st3z6_AQBWY,601.0,Music,102242,4.41
u0UmD7JLRnM,451.0,Music,256981,4.75
CzG_oHDLZdc,691.0,Entertainment,415653,4.13
XE_hVguqwR8,410.0,Music,114550,4.84
EpSOpwM5OMI,698.0,Music,140309,4.75
AeWTKUXm3tU,435.0,Music,111235,4.87
xXKB2H9IeYU,644.0,Entertainment,520875,4.41
Oc0vUoI_KUk,533.0,Entertainment,332618,4.12
w8JPEq0Qp4Q,574.0,Comedy,125000,3.79
6e08BLoU7Ks,411.0,Entertainment,1138588,4.74
SwM1AhbY_wM,445.0,Entertainment,1061607,4.79
-lYcsQ8l5nE,446.0,Comedy,658816,4.76
Q5bPMIxAe9k,454.0,Comedy,172581,4.56
mHJVMK4zO4Q,454.0,Comedy,202798,4.8
avsn755Anwc,475.0,Entertainment,149641,3.84
toUcTzZS43s,584.0,Comedy,134272,4.76
18jdBco-iZg,603.0,Entertainment,177205,4.86
Ifcg-wr95vQ,520.0,Comedy,434847,4.76
N3CajgOXDxc,516.0,Comedy,232737,4.73
PfiI4nAdnXU,522.0,Comedy,151476,4.8
C7KRgQF_j-o,539.0,Music,145504,4.71
xGRctKry3G8,329.0,Sports,268597,2.38
zQ5Grncdjlc,309.0,Music,121581,4.82
Sd5tUw1HD40,668.0,Music,232745,3.65
DGb5xTLxrVc,338.0,Comedy,114905,4.71
JjhO3VGfpFk,584.0,Music,231290,3.41
rI_t9DP2cTk,522.0,Music,302428,5.0
GvAwdXs0jjo,499.0,Entertainment,195801,4.05
BTbRxBeqfnQ,507.0,Entertainment,133505,4.31
XMnOa_6OzQ8,498.0,Entertainment,107845,4.26
II1vH797UYY,554.0,Entertainment,116411,4.51
Ew6F6nC0PME,554.0,Entertainment,210855,4.52
2LNbfJhfTjg,562.0,Entertainment,130327,4.62
2uYLLG5yNBI,607.0,Entertainment,181761,4.42
K6O7ZHFPsdA,606.0,Entertainment,107946,4.81
PxTx3ZhU1VI,535.0,Comedy,1829325,4.91
ke3IiqicQdI,625.0,Music,171893,4.87
NT_c8CaSWAI,625.0,Music,147865,4.88
NmscFwj22vg,498.0,Comedy,105649,4.89
OIownZWFwN8,589.0,Comedy,455247,4.72
rzaLcLq63Vw,701.0,Music,154444,4.91
b2ceRcdIWGs,729.0,Music,122316,4.5
DtftuSHnWVY,261.0,Music,134532,4.93
YD8FTzUkf5A,379.0,Sports,188439,4.49
DQfnTT9sUJA,476.0,Sports,163757,4.14
g7cmqWVpu-o,512.0,Music,147566,4.82
efDkGwl1TOk,715.0,Music,151051,4.79
Jyn8HJuSLsc,373.0,Comedy,721465,2.8
V5bo69BocxU,520.0,Comedy,110114,4.5
9nk7SGVS1lU,289.0,Entertainment,209348,4.43
M7NLOFUYM00,417.0,Comedy,175847,4.21
YsQotM6o1eE,346.0,Entertainment,168721,3.95
CCD7Fz2WrfU,227.0,Entertainment,153345,3.96
NWa1fq0rQmI,687.0,Comedy,196475,3.99
Nana0C1adrI,262.0,Comedy,176627,4.8
2cagZOlwpAg,436.0,Comedy,344581,4.7
beDMYacCPBA,452.0,Entertainment,127504,4.79
mmGwTUdK-iA,488.0,Comedy,132951,4.76
1PFQiU__LkY,225.0,Entertainment,341500,4.78
psNFhA7W_8Y,304.0,Music,105643,4.81
Kh8pr1CoiHs,532.0,Comedy,136955,4.59
Af_QtER9zCo,531.0,Comedy,212198,4.61
YXrNcR9Qr1o,475.0,Sports,101380,4.72
2tUn8vByrBA,373.0,Music,144008,4.39
1VFie_jDRMI,510.0,Entertainment,225453,4.88
LotBzUa9b0Q,430.0,Music,104138,4.54
hYLGviEhjng,579.0,Music,2449515,4.37
l-1GjitXxDk,460.0,Entertainment,102677,4.81
9_wU0qhEPR8,92.0,Comedy,227466,4.09
GjnHMx3KaBo,348.0,Entertainment,166768,4.85
ePJCgvtUJCI,410.0,Entertainment,190084,4.88
XgjIZR7vjvU,680.0,Music,452262,4.82
FmMqL-eu9Ts,513.0,Comedy,198133,4.94
gD0S0WSOStw,421.0,Music,163819,4.84
v5i2qzFG5eA,530.0,Music,243715,4.78
D13_Vkcdtww,509.0,Music,160918,4.69
SsAuPKNtAKo,586.0,Music,177661,4.78
sxRblt_krPY,446.0,Music,126243,4.84
S4bhx3uiEFM,345.0,Entertainment,232862,4.74
TUlaybbhfuI,429.0,Sports,185625,4.42
HrpwRhe2nLI,498.0,Sports,118948,4.16
RaKjk43BJxc,293.0,Sports,212215,4.56
ORFAmbs-LhA,461.0,Sports,161987,4.4
EZuLP5OLQI4,499.0,Comedy,747470,4.83
K31GWBkKaZ0,526.0,Comedy,164948,4.87
